ML Catalog Number,Date,Latitude,Longitude,Recordist,Media notes,Age/Sex,Average Community Rating,Filename
92055,2011-12-17,47.704,-122.218,Andrew Spencer,very quiet calls from a bird on the ground.  When calling the bird would ruffle its feathers and lean forward.,unknown,0.0,92055.mp3
90534,2011-11-27,35.336,-120.727,Thomas G. Graves,,unknown,0.0,90534.mp3
76435,2011-04-22,47.784,-122.274,Andrew Spencer,"natural vocalization, from a pair of birds.  Crows in the Puget Sound area are probably impossible to identify with certainty, but note the distinctly higher pitch of the calls of both birds in this cut compared to the cuts from the San Juan Islands (XC76433 and XC76434).",unknown,0.0,76435.mp3
76434,2011-04-22,48.592,-123.151,Andrew Spencer,"natural vocalization.  Crows in NW Washington are somewhat questionable as to specific identity, but the ones on the San Juan Islands are reputed to be good Northwestern Crows.",unknown,0.0,76434.mp3
76433,2011-04-22,48.592,-123.151,Andrew Spencer,"natural vocalization.  Crows in NW Washington are somewhat questionable as to specific identity, but the ones on the San Juan Islands are reputed to be good Northwestern Crows.",unknown,0.0,76433.mp3
72978,2010-06-18,41.751,-111.822,Ryan P. O&#039;Donnell,Adult and juvenile. Same individuals as in XC72977.,unknown,0.0,72978.mp3
72977,2010-06-18,41.751,-111.822,Ryan P. O&#039;Donnell,Adult and juvenile together. Same individuals as in XC72978.,unknown,0.0,72977.mp3
51769,2010-05-21,41.92,-70.543,Ian Davies,,unknown,0.0,51769.mp3
51410,2010-04-05,35.8589,-84.0948,Mike Nelson,Standard call with gurgle notes near the end.,unknown,0.0,51410.mp3
43850,2010-01-31,43.6313042480466,-88.1658325111493,Todd Wilson,,unknown,0.0,43850.mp3
37386,2009-07-29,49.273,-123.253,Bob Planqué,,unknown,0.0,37386.mp3
29506,2009-01-12,36.321764,-121.570587,Andrew Spencer,,unknown,0.0,29506.mp3
18389,2008-03-09,35.2176,-85.922,Chris Parrish,,unknown,0.0,18389.mp3
12786,2007-04-23,35.2176,-85.922,Chris Parrish,,unknown,0.0,12786.mp3
963209,2024-08-03,57.822,-152.3293,Bill Pyle,Flock of 9 birds with gender and age identified of 4 birds. Recorded (food begging) call of juvenile.,unknown,0.0,963209.mp3
947716,2024-10-27,38.9807,-77.0937,Daniel Parker,"Various calls of a group, showing the variety given in a single context. Could have been mobbing something, but I never heard any other species calling. According to some authorities, these crows would fall under the range of subspecies *paulus*, but current IOC taxonomy seems to lump it with *brachyrhynchos*. It will be interesting to see what AviList decides.",unknown,0.0,947716.mp3
911960,2022-01-07,45.5318,-73.8577,Marc Boisvert,"Ebird Liste S100534946

Normalize file wave

In the suburbs, , trail go through a small matures forests with small bush between a golf club and courtyards houses.

",unknown,0.0,911960.mp3
911375,2022-01-05,45.5318,-73.8577,Marc Boisvert,"Liste d'observation S100159366

In the suburbs, , trail go through a small matures forests with small bush between a golf club and courtyards houses.
",unknown,0.0,911375.mp3
896365,2024-04-15,38.5633,-121.4447,Ed Pandolfino,Rattle call. This bird was in a large pecan tree all by itself giving ONLY this call over and over again for several minutes. The only other bird nearby was a No. Mockingbird in a nearby oak giving grating scolds I associate with the presence of a predator.,unknown,0.0,896365.mp3
857348,2023-12-23,43.4296,-89.7101,Yishai Blum,Recording unmodified. AMCR perched overheard in Red pine canopy calling in response to conspecifics across basin. Loud and clear conversational response calls with varying rhythm patterns. Later seen flying overhead. Conditions were still and silent; no wind or other animal sounds. ,unknown,0.0,857348.mp3
840365,2023-02-02,44.8432,-93.3784,Michael Hurben,,unknown,0.0,840365.mp3
840256,2023-11-02,44.8372,-93.3769,Michael Hurben,,unknown,0.0,840256.mp3
834319,2023-10-07,32.6287,-116.923,Paul Marvin,a pair high in a tree,unknown,0.0,834319.mp3
822638,2023-08-03,49.3522,-123.0773,Francisco Molinero,,unknown,0.0,822638.mp3
815111,2023-05-22,37.3355,-91.4807,Richard E. Webster,,unknown,0.0,815111.mp3
783588,2023-03-02,40.141,-75.082,Paul Driver,two birds in a tree,unknown,0.0,783588.mp3
782271,2023-02-23,40.141,-75.082,Paul Driver,,unknown,0.0,782271.mp3
780198,2023-02-11,49.0241,-122.7934,Nikhil Patwardhan,"Possible interaction between two crows. Original recording, 96kHz 24bit WAV, is available if needed.",unknown,0.0,780198.mp3
776977,2023-01-24,38.9807,-77.0937,Daniel Parker,"Construction noise in background. I hear the occasional American Crow along with the large numbers of Fish Crows calling every morning, but not again for practically the rest of the day. I wonder if there may be a roost nearby, and if so I would like to find it.",unknown,0.0,776977.mp3
754449,2022-10-07,46.0307,-74.1826,Denis Provencher,,unknown,0.0,754449.mp3
749901,2022-09-22,46.0307,-74.1826,Denis Provencher,,unknown,0.0,749901.mp3
